training_loss,validation_loss
23443.573545152118,23844.22584834789
22520.51762832029,23954.70541004568
23280.755780670064,23866.623429745498
22486.269371752696,24085.310153294853
23448.06789315623,23843.93566942658
23165.87837409242,23601.402029747776
22849.019088284604,23647.633576393917
22390.36483767255,23500.41079469177
23348.454772359208,23312.854307902526
22689.57303738039,23101.212582621345
22114.43478881664,22744.0602674611
22445.228468074936,22302.189167474877
22070.849448928442,21726.87634439148
21437.08229146998,21217.36565493473
21005.022134336174,20559.222400520837
20852.203585736726,19613.935848087407
19629.01947052332,20080.393922533578
20023.72975519074,19287.778069509797
18394.0981733208,18638.7569922258
18162.50673544413,16234.032219401652
17168.523487457205,15561.749716149508
16735.26357409956,14161.085071853611
15659.388500785733,14539.10697760338
14874.477963974638,14723.302183094751
14297.435453404789,10066.439334125273
12933.956836447258,12036.533521680369
11326.509172735585,11463.49834274395
10960.050921227707,8758.736990266909
8876.21580475996,19277.97903843206
8013.3820331637235,26821.05378146789
6986.362045774871,6333.929943477589
6416.239394883481,12857.970499995776
5099.22780343524,4612.670249524521
4104.523537715896,5945.182760634621
3430.517072924703,2780.393387575045
3090.846413773666,2167.0259466494535
2841.144030149977,2680.568381848163
2556.355157190784,2177.6060606073174
2666.0962589263577,2851.7410855954754
2664.0220302373787,2556.2445916568668
2390.8446015191403,1603.8810561850876
2506.6097287828966,1815.75983785028
2639.0947627912724,2278.1354153772622
2199.25391226903,1813.7113831141037
2465.5603502793992,2196.7426241641842
2311.5752248074054,1746.3474073212528
2027.906724741168,1495.8034701526258
2338.7717835333015,1734.984492191608
2037.5293881331493,1664.1567890442068
2209.145155800927,2075.7414554897045
1987.7147026131056,1455.5715670529444
1995.7647445997954,1621.5524941503338
2376.5120610733,1548.1667269999448
2328.4082476658978,2470.8520558673254
2411.5020334936626,1909.2555790398374
2343.4918033389577,1296.9539657814603
2252.453404340471,1421.6978422867473
2040.5725082360646,1520.9145882232365
2028.829066880789,1909.3636620355321
2067.749258971792,1507.680201511931
2397.8318227433774,1398.7213591203722
2318.797157939042,1464.7111591218936
1971.3118012948455,1358.1910964570393
1986.8835324165605,1562.4691026521891
2204.663278591695,1348.9273120875387
2420.2344560177994,1444.8949930301712
2370.569481230855,1432.2384979449032
2006.1172843259542,1324.915681412897
1903.2541482799243,1376.2223337574499
2020.8178496135902,1694.1554663405157
2226.611167642351,1196.7219845507943
1864.8237601630851,1213.8094446407613
2010.472734989792,1612.6783529785475
2156.968762411075,1314.539039030175
2000.2954833019712,1170.75965513047
1835.71604425888,1277.8678452270203
2049.359366714947,1659.9379110558834
1967.4923540039947,1379.7248549106266
1741.781525624303,1368.8985279433743
2007.2981770185277,1216.8695113101278
1802.6199101756015,1277.413261438629
2242.5523670398197,1534.4469450009392
2138.118458024381,1513.1101821600173
2119.81857931063,1281.462251722326
1956.0581755154,1705.5983764663
2058.6031323652737,1470.4705741491016
1919.1121318825658,1311.5817697941193
1964.4936441395344,1356.2408906474197
1975.6380426888804,1312.0629389882045
1736.8621648324327,1381.0281534121514
2104.5338756887245,1293.6225825312604
1928.0427842832837,1124.93735624782
1825.0024555794862,1337.2165384581467
1800.0342416679853,1270.7806001639756
1903.155000395609,1210.3711819994369
1815.756257483835,1304.973467115556
1858.4640200334197,1104.4194554191456
1967.8164755064367,1237.956568410828
1993.226229945981,1641.3668540998067
1944.7687168134344,1297.3207471430692
